"ID","used_out","used_in","month","year"
"PR17F0026",39,315,7,2019
"PR17F0023",16,343,7,2019
"PR17M0017",0,360,7,2019
"PR17U0007",0,360,7,2019
"PR17F0034",0,358,7,2019
"PR17M0028",0,360,7,2019
"PR17M0024",0,360,7,2019
"PR17F0035",53,305,7,2019
"PR17M0018",0,359,7,2019
"PR17M0030",0,360,7,2019
"PR17M0025",0,359,7,2019
"PR17M0026",0,359,7,2019
"PR17M0029",0,349,7,2019
"PR17M0032",0,345,7,2019
"PR17F0032",48,301,7,2019
"PR17M0023",0,359,7,2019
"PR17M0022",0,359,7,2019
"PR18M0008",0,357,7,2019
"PR18F0018",0,359,7,2019
"PR18F0013",6,345,7,2019
"PR18F0010",81,252,7,2019
"PR18F0003",69,63,7,2019
"PR18M0006",0,359,7,2019
"PR18F0005",0,358,7,2019
"PR18F0017",0,358,7,2019
"PR18U0002",7,352,7,2019
"PR18M0001",0,359,7,2019
"PR18F0014",0,359,7,2019
"PR18U0001",0,349,7,2019
"PR18F0012",0,356,7,2019
"PR18M0007",0,348,7,2019
"PR18F0007",0,359,7,2019
"PR18U0003",0,136,7,2019
"PR18F0006",0,360,7,2019
"PR18M0003",0,359,7,2019
"PR18F0002",0,358,7,2019
"PR18F0020",16,344,7,2019
"PR18F0028",122,238,7,2019
"PR18F0023",127,232,7,2019
"PR18M0013",0,360,7,2019
"PR18M0012",0,360,7,2019
"PR18F0021",91,268,7,2019
"PR18F0030",14,345,7,2019
"PR18F0027",39,318,7,2019
"PR18M0014",0,237,7,2019
"PR18M0010",0,358,7,2019
"PR18F0022",146,212,7,2019
"PR18M0011",0,357,7,2019
"PR18F0029",6,351,7,2019
"PR18M0015",20,327,7,2019
"PR18F0031",0,347,7,2019
"PR18F0019",20,339,7,2019
"PR18F0024",0,353,7,2019
"PR18F0025",0,359,7,2019
"PR18F0032",0,347,7,2019
"PR18F0034",0,359,7,2019
"PR18F0033",4,297,7,2019
"PR19M0001",0,328,7,2019
"PR19F0033",2,357,7,2019
"PR19F0002",23,334,7,2019
"PR19F0007",0,358,7,2019
"PR19F0006",0,359,7,2019
"PR19F0005",0,359,7,2019
"PR19M0002",0,359,7,2019
"PR17M0005",42,319,7,2019
"PR17M0006",0,360,7,2019
"PR17M0007",0,361,7,2019
"PR17M0002",0,360,7,2019
"PR19F0012",0,21,11,2019
"PR19F0011",46,51,11,2019
"PR19F0009",9,107,11,2019
"PR19M0009",1,86,11,2019
"PR19F0027",62,54,11,2019
"PR19F0015",72,44,11,2019
"PR19M0010",4,112,11,2019
"PR19F0019",74,23,11,2019
"PR19F0025",2,103,11,2019
"PR19F0008",17,99,11,2019
"PR19F0028",52,65,11,2019
"PR19F0021",2,101,11,2019
"PR19F0022",22,103,11,2019
"PR19F0026",23,103,11,2019
"PR19M0008",43,83,11,2019
"PR19F0023",3,123,11,2019
"PR19M0005",106,21,11,2019
"PR19F0013",18,89,11,2019
"PR19M0004",44,81,11,2019
"PR19F0020",10,118,11,2019
